year,mm,months,vs_average_pct
1998,1377.1449150784733,4,3.060468604776534
1999,1224.9232164723026,4,-8.33124436485897
2000,1253.8657823240214,4,-6.165289012852471
2001,1034.8956477261843,4,-22.552209833613112
2002,950.1689025390901,4,-28.892848329048327
2003,1233.9321855968717,4,-7.6570461962725105
2004,1078.3439230345625,4,-19.300700450451615
2005,1424.7279527544115,4,6.621408420788177
2006,1022.1928779417399,4,-23.50283848004633
2007,1459.7908192936113,4,9.245384602663531
2008,1335.2673906332052,4,-0.07349155154542375
2009,812.6264113966288,4,-39.18602331376129
2010,1923.877789694361,4,43.97594935237754
2011,1787.8909504813319,4,33.79919364575057
2012,1419.0520228008852,4,6.196642664930918
2013,1773.0765074338783,4,32.6905351263221
2014,1018.0716430458942,4,-23.811256566585914
2015,1220.3220834883803,4,-8.675576262137119
2016,1303.1881298929109,4,-2.474185631152259
2017,1445.0114754751908,4,8.139352780652477
2018,1606.1884222606825,4,20.201243640593923
2019,1171.279830400728,4,-12.345718401361061
2020,1057.2498981808542,4,-20.87929981380192
2021,1395.2114328948255,4,4.412500458376845
2022,1473.1016969090545,4,10.241521806212827
2023,1397.4739799699723,4,4.581821173467837
2024,1558.542532527224,4,16.635600207388546
2025,1657.5653695800838,4,24.04610572318653
