design,draw,test,auc
original matched,0,terrain (all),0.843047619047619
original matched,0,only slope,0.7217142857142858
original matched,0,only dist_river,0.7688571428571429
original matched,0,coordinates only,0.687936507936508
slope-matched,0,terrain (all),0.6596938775510204
slope-matched,0,only slope,0.33364512471655333
slope-matched,0,only dist_river,0.6839285714285714
slope-matched,0,coordinates only,0.5022675736961452
original matched,1,terrain (all),0.8071428571428572
original matched,1,only slope,0.43539682539682545
original matched,1,only dist_river,0.7388095238095238
original matched,1,coordinates only,0.508015873015873
slope-matched,1,terrain (all),0.6596780045351475
slope-matched,1,only slope,0.3995578231292517
slope-matched,1,only dist_river,0.6317981859410431
slope-matched,1,coordinates only,0.6378616780045352
original matched,2,terrain (all),0.7573015873015873
original matched,2,only slope,0.5936507936507937
original matched,2,only dist_river,0.6049206349206349
original matched,2,coordinates only,0.650079365079365
slope-matched,2,terrain (all),0.7746031746031746
slope-matched,2,only slope,0.49269841269841275
slope-matched,2,only dist_river,0.6236507936507936
slope-matched,2,coordinates only,0.6006349206349206
original matched,3,terrain (all),0.6479365079365079
original matched,3,only slope,0.4622222222222222
original matched,3,only dist_river,0.5027777777777778
original matched,3,coordinates only,0.5376984126984128
slope-matched,3,terrain (all),0.6764172335600908
slope-matched,3,only slope,0.4554705215419501
slope-matched,3,only dist_river,0.5854308390022676
slope-matched,3,coordinates only,0.513265306122449
original matched,4,terrain (all),0.7921088435374151
original matched,4,only slope,0.44952380952380955
original matched,4,only dist_river,0.4423129251700679
original matched,4,coordinates only,0.49309523809523803
slope-matched,4,terrain (all),0.8566666666666667
slope-matched,4,only slope,0.7458730158730159
slope-matched,4,only dist_river,0.8071428571428573
slope-matched,4,coordinates only,0.6075396825396826
original matched,5,terrain (all),0.8373771730914588
original matched,5,only slope,0.5846056941295037
original matched,5,only dist_river,0.7863189720332577
original matched,5,coordinates only,0.590702947845805
slope-matched,5,terrain (all),0.7451201814058958
slope-matched,5,only slope,0.4129773242630385
slope-matched,5,only dist_river,0.5370272108843538
slope-matched,5,coordinates only,0.4461337868480726
original matched,6,terrain (all),0.8293469387755102
original matched,6,only slope,0.5330068027210885
original matched,6,only dist_river,0.4564240362811791
original matched,6,coordinates only,0.5975691609977325
slope-matched,6,terrain (all),0.7706349206349207
slope-matched,6,only slope,0.46150793650793653
slope-matched,6,only dist_river,0.7243650793650793
slope-matched,6,coordinates only,0.5507936507936508
original matched,7,terrain (all),0.6498110355253213
original matched,7,only slope,0.47218442932728644
original matched,7,only dist_river,0.5981229528848576
original matched,7,coordinates only,0.49484126984126997
slope-matched,7,terrain (all),0.6624852607709751
slope-matched,7,only slope,0.4730022675736961
slope-matched,7,only dist_river,0.7379931972789116
slope-matched,7,coordinates only,0.398328798185941
original matched,8,terrain (all),0.8567074829931972
original matched,8,only slope,0.5592471655328798
original matched,8,only dist_river,0.8977868480725624
original matched,8,coordinates only,0.6821315192743764
slope-matched,8,terrain (all),0.5852380952380953
slope-matched,8,only slope,0.5936507936507937
slope-matched,8,only dist_river,0.5191269841269841
slope-matched,8,coordinates only,0.6361904761904762
original matched,9,terrain (all),0.7766666666666666
original matched,9,only slope,0.7506349206349207
original matched,9,only dist_river,0.7253968253968254
original matched,9,coordinates only,0.6424603174603174
slope-matched,9,terrain (all),0.6662131519274377
slope-matched,9,only slope,0.3786848072562359
slope-matched,9,only dist_river,0.6663548752834467
slope-matched,9,coordinates only,0.5316326530612245
original matched,10,terrain (all),0.7176190476190476
original matched,10,only slope,0.4220634920634921
original matched,10,only dist_river,0.6563492063492063
original matched,10,coordinates only,0.641984126984127
slope-matched,10,terrain (all),0.5019047619047619
slope-matched,10,only slope,0.41801587301587306
slope-matched,10,only dist_river,0.5097619047619047
slope-matched,10,coordinates only,0.38619047619047614
original matched,11,terrain (all),0.8425260770975058
original matched,11,only slope,0.719875283446712
original matched,11,only dist_river,0.6709183673469388
original matched,11,coordinates only,0.6554784580498867
slope-matched,11,terrain (all),0.5815827664399092
